acronym,title,score,acceptance%,submission deadline,notification,final version,location,when,link,cfp
Ei/Scopus-MLBDM 2026,2026 6th International Conference on Machine Learning and Big Data Management (MLBDM 2026),72,28,2026-11-20,2026-12-04,2026-12-10,"Hangzhou, China","Dec 18, 2026 - Dec 20, 2026",http://www.mlbdm.net/,"2026 6th International Conference on Machine Learning and Big Data Management (MLBDM 2026) Location: Hangzhou, China Dates: December 18-20, 2026 Website: http://www.mlbdm.net/ E-mail: sub@mlbdm.net Conference Format: Online and In-person 2026 6th International Conference on Machine Learning and Big Data Management (MLBDM 2026), as the workshop of ACAI 2026, sponsored by Zhejiang University of Technology, Nanjing University, hosted by College of Computer Science and Technology, Zhejiang University of Technology, supported by Software Engineering Institute of East China Normal University, will be held during December 18-20, 2026 in Hangzhou, China. MLBDM aims to provide a forum for researchers, practitioners, and professionals from the industry, academia and government to discourse on research and development, professional practice in Machine Learning and Big Data Management. MLBDM 2026 will include presentations in form of contributed papers, poster sessions, and state of the art lectures by invited keynote speakers. Topics: Unsupervised Learning Algorithms and Systems for Big Data Search Meaningful Compression Distributed, and Peer-to-peer Search Computational Theories of Learning Big Data Search Architectures, Scalability and Efficiency Big Data Visualization Data Acquisition, Integration, Cleaning, and Best Practices Structure Discovery Visualization Analytics for Big Data Feature Elicitation Computational Modeling and Data Integration (For more topics: http://www.mlbdm.net/topics.html) Paper Publication and Indexing: Accepted papers after proper registration and presentation will be included in the Conference Proceedings, published by IEEE and indexed by Ei Compendex, Scopus, CPCI and other important databases. Previous Publication and indexing: *All papers included in MLBDM 2020-2025 have been published and indexed by EI and Scopus successfully! Paper Submission (Choose one way to submit your paper): 1. Submission System: https://cmt3.research.microsoft.com/MLBDM2026/ (Recommend) 2. Email Submission: sub@mlbdm.net You are also welcome to join us as: As Presenter: If you want to share you latest research results by giving presentation without publishing papers, please submit your abstract (300-400 words) As Listener: You are also warmly welcomed to take part in MLBDM 2026 as a listener even though you have no paper to submit. As Reviewer: To ensure the fairness and to guarantee the quality of MLBDM 2026, we cordially invite experts and scholars join us as a reviewer. MLBDM 2026 Organizing committee members: Conference Chairs: Prof. Xiangjie Kong, Zhejiang University of Technology, China Prof. James Tin Yau KWOK (Fellow IEEE), The Hong Kong University of Science and Technology, Hong Kong, China Prof. Wanyang Dai, Nanjing University, China Program Chairs: Prof. Zhen Lei, IEEE Fellow, IAPR Fellow, University of Chinese Academy of Sciences, China Prof. Yudong Zhang, Southeast University, China Prof. Xiaodong Liu, Head of Intelligence-Driven Software Engineering Research Group, Edinburgh Napier University, UK Prof. Lei Zhang, Vice Dean, East China Normal University, China Contact us: Conference Secretary: Mrs. Caroline Li Email: sub@mlbdm.net Tel: +852 92562476 Website: http://www.mlbdm.net/"
IEEE-MLNLP 2026,2026 IEEE 9th International Conference on Machine Learning and Natural Language Processing (MLNLP 2026),85,30,2026-11-30,,,"Xiamen, China","Dec 26, 2026 - Dec 28, 2026",https://www.mlnlp2026.net/,"*【Important Information】: Website: https://www.mlnlp2026.net/ Venue: Xiamen, China (both online and in-person) Conference Date: Dec. 26-28, 2026 *【Conference Introduction】: MLNLP 2026 has been officially listed on IEEE Conference List: https://conferences.ieee.org/conferences_events/conferences/conferencedetails/72106 2026 9th International Conference on Machine Learning and Natural Language Processing (MLNLP 2026) will be held in Xiamen, China during Dec. 26-28, 2026. It is organized by School of Computer Engineering, Jimei University, China; sponsored by IEEE, IEEE Computational Intelligence Society. MLNLP 2026 will be held in Jimei University, China. During the upcoming conference, the invited renowned professors will share with us the recent innovations in the fields of Machine Learning and Natural Language Processing. The conference will mainly feature on keynote speeches as well as peer-reviewed paper presentations. In addition, social program or academic visit will be arranged to encourage communication, discussion or cooperation among the researchers in these fields. We invite submissions of papers presenting an original high-quality research and development for the conference. All papers must be written in English and will be peer-reviewed by technical committees of the Conference and all accepted papers will be published in the conference proceedings. *【Publication and Indexing】: ★All accepted papers will be included in MLNLP 2026 Conference Proceedings and published by IEEE, which will be archived in IEEE Xplore, and indexed by Ei Compendex, Scopus and Web of Science (CPCI-S). ★MLNLP 2025 all accepted papers have been published by IEEE and indexed by IEEE Xplore, EI Compendex and Scopus successfully within 1 month after publication. ★MLNLP 2024 all accepted papers have been published by IEEE and indexed by IEEE Xplore, EI Compendex and Scopus successfully within 1 month after publication. ★MLNLP 2023 all accepted papers have been published by ACM and indexed by EI Compendex and Scopus successfully within 1 month after publication *【Journal Recommendation】: ★You may choose to publish your paper in the MLNLP 2026 proceedings, or extend it for free publication in the following journals: ①Journal of Machine Learning Advances Frequency: Quarterly Submission to First Decision: 2 days Submission to Acceptance: 20 days Accept to Publish: 30 days JMLA website: https://ojs.weavecorepress.com/index.php/JMLA ② Journal of Algorithms in Complex Systems Frequency: Quarterly Submission to First Decision: 2 days Submission to Acceptance: 20 days Accept to Publish: 30 days JACS website: https://ojs.weavecorepress.com/index.php/JACS *【Submission Methods】: 1. Online Submission System: https://cmt3.research.microsoft.com/MLNLP2026 2. Submission Email: mlnlp@applied-computing.net Submission guidelines: https://mlnlp2026.net/submission.html *【Contact us】: Website: https://www.mlnlp2026.net/ Email: mlnlp@applied-computing.net Tel: +8613502461341(Wechat) QQ: 2056773349 *【Conference Speakers】: Keynote Speaker I: Prof. James Tin-Yau Kwok, Hong Kong University of Science and Technology, Hong Kong, China (IEEE Fellow) Keynote Speaker II: Prof. Jixin Ma, University of Greenwich, UK Keynote Speaker III: Prof. Nianyin Zeng, Xiamen University, China *【Call for papers】: Track 1: Machine Learning (ML) Foundations: Supervised, unsupervised, and semi-supervised learning. Deep Learning: Neural network architectures, attention mechanisms, and graph neural networks. Learning Paradigms: Reinforcement learning, transfer learning, and multi-task learning. Trustworthy AI: Explainable AI (XAI), robustness, fairness, and privacy-preserving machine learning. Optimization: Large-scale optimization algorithms and evolutionary computing. Edge & Distributed ML: Federated learning and on-device machine learning. Track 2: Natural Language Processing (NLP) Large Language Models (LLMs): Pre-training, fine-tuning, prompting, and alignment (RLHF). Linguistic Analysis: Syntactic parsing, semantic analysis, and pragmatic reasoning. Core NLP Tasks: Named entity recognition, sentiment analysis, and summarization. Dialogue & Interactive Systems: Chatbots, multi-turn dialogue management, and human-computer interaction. Machine Translation: Neural machine translation and multilingual processing. Information Retrieval: Question answering, document ranking, and knowledge graph construction. Track 3: Track 3: ML & NLP Convergence (Emerging Trends) Multimodal Learning: Integration of vision, audio, and text (Vision-Language Models). Cognitive Computing: Language understanding inspired by human cognition. AI for Science: Applications of MLNLP in healthcare, finance, and social sciences. Efficiency & Sustainability: Green AI, model compression, and efficient inference. Creative AI: Controllable text generation and AI-aided content creation. Ethics & Society: Detection of AI-generated content (Deepfake text) and bias mitigation. (for more topics: https://www.mlnlp2026.net/topic.html) *【Guidelines for submission】: 1. The papers should be written in English and clearly state the title, objective, method, results, and conclusion with major keywords. 2. Papers prepared in the prescribed format are to be submitted. 3. The number of pages of the paper should be no less than 5 pages with double columns. 4. The review period is about 3-4 weeks. 5. The paper should be original work of the author(s), and no portion of the paper (including, but not limited to, graphics and figures) has been previously published. The paper is not currently under consideration for publication elsewhere. 6. Download the paper template from the official website. 7. The results will be available within 3-4 weeks after submission. If the review is fast, the results will be available within 1-2 weeks. The earlier the submission, the earlier the review and the earlier the acceptance notice. *【Types of Participation】: 1. Participation as an Author: For each accepted paper, one author is permitted to give a presentation; all co-authors can attend the conference free of charge. 2. Keynote Speaker: Applicants can apply to deliver a keynote speech, which will be subject to review by the organizing committee. 3. Oral Presentation: Each oral presenter will have 10-15 minutes for their presentation. 4. Poster Presentation: Poster presenters should prepare their posters in accordance with the poster template provided on the official website. 5. Listener: Participants who do not submit papers but only attend the conference can take part in Q&A session, and are also eligible to give oral speeches or make poster presentations."
ICNLP--EI 2027,2027 The 9th International Conference on Natural Language Processing (ICNLP 2027),70,25,2026-11-30,,,"Zhenjiang, China","Apr 16, 2027 - Apr 18, 2027",http://www.icnlp.net/,"★Full Name: 2027 The 9th International Conference on Natural Language Processing (ICNLP 2027) ★Abbreviation: ICNLP 2027 ★Website: http://www.icnlp.net/ ★Date: April 16-18, 2027 ★Place: Zhenjiang, China ★Organised by: mainly Sponsored by Jiangsu University of Science and Technology, hosted by School of Computer Science, Jiangsu University of Science and Technology, and jointly supported by many universities, industries, and academic institutions. ★News:The Proceedings of ICNLP 2026 have been successfully published in the IEEE Xplore Digital Library. https://ieeexplore.ieee.org/xpl/conhome/11527440/proceeding ★Call for paper★ 1. Language Analysis and Representation: Phonetics, Phonology, and Morphology; Syntax, Semantics, Discourse, Pragmatics, Dialogue, and Lexicon; Word and Sentence Representation; Semantic Role Labelling; 2. Language Processing Models and Techniques: Mathematical, Statistical, Machine Learning, and Deep Learning Models; Mathematical and Statistical Models; Machine Learning Models; Deep Learning Models; 3. Language Resources and Tools: Language Resources and Corpora; Electronic Dictionaries, Terminologies, and Ontologies; Linked Data; 4. Multilingual and Cross-Lingual Processing: Multilingual NLP; Machine Translation, Translation Memory Systems, and Computer-Aided Translation Tools; Text Simplification and Readability Estimation; 5. Information Extraction and Retrieval: Knowledge Acquisition; Information Retrieval; Text Categorization; 6. Sentiment Analysis and Human Interaction:: Opinion Mining and Sentiment Analysis; Computer-Aided Language Learning; For details about topics, please visit at https://icnlp.net/cfp.html ★ Publication Submissions must be original and should not have been published previously or be under consideration for publication while being evaluated for this conference, and all accepted and presented papers of ICNLP2027 will be published into Conference Proceedings. Recommended Journal Selected paper will be recommended and invited to publish an at least 30% extended version on the Graph Database, Knowledge Graph and Natural Language Processing, a special issue of Mathematics (ISSN 2227-7390). This special issue belongs to the section ""Mathematics and Computer Science"". (Indexing: SCIE, Scopus CNKI, etc.) ★Submission★ 1. Full paper(publication and presentation) 2. Abstract (presentation only) There are two methods for submitting your paper: 1. By Electronic Submission System: https://www.zmeeting.org/submission/icnlp2027 2. By our contact email: icnlp@chairmen.org More detail about submission, please visit at https://icnlp.net/sub.html ★★Conference Schedule★★ Friday, April 16, 2027| Conference Registration and Materials Collection/Pre-test for Online Conference Saturday, April 17, 2027 | Invited Talks (Keynote Speech, Plenary Speech, Invited Speech) & Onsite Parallel Sessions & Poster Session & Special Sessions Sunday, April 18, 2027 | Social Program & Online Parallel Sessions ★★Contact: Ms. Zenobia Yang (Conference Secretary) Email: icnlp@chairmen.org Telephone: (+86) 18702848313； (Working hour: GMT+8 10:00am-17:00pm) Wechat: 18081079313"
IPMI 2027,Information Processing in Medical Imaging (IPMI) 2027,10,22,2026-12-07,2027-02-15,,"Lake Stukely, QC, Canada","Jun 27, 2027 - Jul 2, 2027",https://2027.ipmi-conf.org/,"Information Processing in Medical Imaging (IPMI) 2027 June 27 - July 02, 2027 • Lake Stukely, Orford, Quebec, Canada https://2027.ipmi-conf.org 🌐 Web: https://2027.ipmi-conf.org 💬 Contact: team-2027@ipmi-conf.org 🗓️ Dates: June 27 – July 02, 2027 📍 Location: Lake Stukely, Quebec, Canada ⏰ Submission: December 07, 2026 🎖️ About IPMI: Continuing almost 60 years of scientific excellence, IPMI remains the influential premier forum for methodological breakthroughs in medical image computing. 🔍 The Experience: Known for its immersive retreat-like atmosphere, IPMI fosters active scientific debate and in-depth discussion of new methodological developments. 📝 The Call: We invite high-quality submissions presenting innovative algorithms and sound theoretical foundations in biomedical imaging. 🎖️ ➤ About IPMI Join the 30th biennial IPMI conference from June 27 to July 02, 2027, at beautiful Lake Stukely in Quebec, Canada. Continuing almost 60 years of scientific excellence, IPMI is the influential premier forum for methodological breakthroughs in medical image computing. Known for its immersive retreat-like atmosphere, IPMI fosters active scientific debate and in-depth discussion of new methodological developments. We invite high-quality submissions featuring innovative algorithms and sound theoretical foundations in biomedical imaging. Web: https://2027.ipmi-conf.org Contact: team-2027@ipmi-conf.org 🗓️ ➤ Important Dates ● Submission Deadline: December 07, 2026, 23:59 PST (no extensions) ● Decision Notification: February 15, 2027 ● Conference: June 27 - July 02, 2027 🔍 ➤ The Venue IPMI 2027 honors its 58-year tradition of deep scientific exchange at the Jouvence Center on beautiful Lake Stukely in Canada. Its retreat-like atmosphere is located 90 minutes east of Montreal. There, discussion never stops. Modern facilities blend with pristine woodland, allowing interactions to flow from formal sessions to lakeside trails or lakeshore breaks. Whether hiking, canoeing or in the conference center, attendees engage in the uninterrupted networking and in influential debates that define IPMI’s history. 🔬 ➤ The Topics Following topics, and beyond, are welcome: ● Mathematical Foundations and Computational Methods Inverse problems and optimization theory • Computational anatomy and physiology • Geometric learning • Statistical and computational modeling • Quantum computing applications ● Image Formation and Reconstruction Image acquisition and reconstruction methods • Image registration, segmentation and fusion • Functional, diffusion and molecular imaging • Multidimensional, multimodality, multiscale problems ● Machine Learning and Intelligence Novel deep learning theory and architectures • Foundation models and multimodal learning • Generative modeling and synthesis • Transfer Learning, domain adaptation, federated learning • Uncertainty quantification and robust learning • Causal learning and interpretable methods ● Clinical Applications and Translation Image-guided interventions and surgery • Computer-aided diagnosis and treatment • Imaging genomics and omics integration • Digital twins and augmented reality applications ● Visualization and Human-AI Interaction Advanced visualization and immersive interfaces • Privacy-preserving and sustainable computing 📝 ➤ Submission Guidelines Papers have 12 pages, excluding references, in Springer LNCS format; strict adherence is required to avoid desk rejection. Submissions must be original unpublished work, not under review elsewhere during the IPMI review period, and will undergo a double-blind review. Authors are required to attend the conference in person to engage in discussions. Onsite language assistance will be available for those in need. Conference proceedings are traditionally published in the Springer Lecture Notes Computer Science (LNCS) series. 👥 ➤ Organization General Chairs: Hervé Lombaert, Julia Schnabel Program Chairs: Maria Zuluaga, Ninon Burgos, Ismail Ben Ayed, Pierre-Marc Jodoin Local Chairs: Maxime Descoteaux, Christian Desrosiers Scientific Advisors: Kaleem Siddiqi, Tal Arbel, Ipek Oguz Digital Chair: Hoel Kervadec Website: https://2027.ipmi-conf.org Contact: team-2027@ipmi-conf.org"
IEA/AIE 2027 2027,"The 40th International Conference on Industrial, Engineering & Other Applications of Applied Intelligent Systems",88,28,2026-12-15,2027-03-10,2027-04-15,"Naples, Italy","Jul 20, 2027 - Jul 22, 2027",https://www.i-somet.org/iea-aie2027/,"The 40th International Conference on Industrial, Engineering & Other Applications of Applied Intelligent Systems IEA/AIE 2026 continues the tradition of emphasizing on applications of applied intelligent systems to solve real-life problems in all areas including engineering, science, industry, automation & robotics, business & finance, medicine and biomedicine, bioinformatics, cyberspace, and human-machine. The Conference Proceedings will be published by Lecture notes in AI, Springer. IEA/AIE 2027 IS ORGANIZED IN COOPERATION WITH ACM Special Interest Group on Artificial Intelligence (ACM SIGAI) / Catalan Association for Artificial Intelligence (ACIA) / China Computer Federation (CCF) / International Society of Applied Intelligence (ISAI) / Italian Association for Artificial Intelligence (AIxIA) / Iwate Prefectural University, Japan / Japanese Society for Artificial Intelligence (JSAI) / Society for the Study of Artificial Intelligence and the Simulation of Behavior (AISB) / Spanish Society for Artificial Intelligence (AEPIA)/ Taiwanese Association for Consumer Electronics (TACE) / Texas State University, USA / University of Hradec Kralove (UHK) / Universiti Tekonologi Malaysia (UTM) / Taiwanese Association for Artificial Intelligence (TAAI) Topics of interest include, but are not limited to: Adaptive Control Ambient Intelligence Argumentation Systems Artificial Immune Systems Automated Reasoning Autonomous Agents Bayesian Networks Bio-informatics Case-based Reasoning Computer Animation Computer Vision Cognitive Models Constraint Programming Data Mining Decision Support Systems Description Logics Evolutionary Computation Expert Systems Fuzzy Logic Games Information Retrieval Heuristic Search Human Robot Interaction Intelligent Systems Knowledge Representation Machine Learning Meta-heuristics Model-based Reasoning Multi-Agent Systems Multi-Media Processing Natural Language Processing Neural Networks Non-Monotonic Logics Optimization Planning and Scheduling Preference Reasoning Privacy Preserving Data Mining Robotics Semantic Web Smart Graphics Social Networks Soft Computing Speech Recognition Swarm Intelligence Temporal and Spatial Reasoning Uncertainty User Modeling Ontologies Submissions must be made through the system available at the following link: https://cmt3.research.microsoft.com/User/Login?ReturnUrl=%2FIEAAIE2027 Authors are invited to submit their papers in English of up to 12 single spaced pages including references, and presenting the results of original research or innovative practical applications relevant to the conference. Practical experiences with state-of-the-art AI methodologies are also acceptable when they reflect lessons of unique value to the conference attendees. Shorter works, up to 6 pages may be submitted as short papers representing work in progress or suggesting possible research directions. Submitted papers must be formatted using the Springer LNCS/LNAI style and will be done electronically using the submission button above. The use of the LaTeX2e style file available from Springer is required. Papers submitted to IEA/AIE 2027 must not have already been published, or accepted for publication, or be under review for a journal or another conference. Submissions will go through a double blind review process by Program Committee members for originality, significance, technical merit, and clarity of presentation. In this regard, authors should not include any information that would identify them or their affiliations. Such information can however be added to the camera-ready version, if the paper is accepted. The ""best student paper award will be given to the best student submissions based on quality and novelty. Free registration fee and possible travel (if traveling is allowed) to the awarded winner will be offered by ACM SIGAI. Besides, there is other category for ""best Technical paper"" award and ""best theory paper award; offered by Springer. The conference proceedings will be published by Springer in the Lecture Notes in Artificial Intelligence (LNCS/LNAI) series. A paper will be accepted either as a long or as a short paper. Long papers will be allocated 12 pages while short papers will be allocated 6 pages in the proceedings."
COMP 2026,OPEN COMPUTER SCIENCE,90,35,2026-12-31,,,,,https://www.degruyterbrill.com/comp,"𝗢𝗣𝗘𝗡 𝗖𝗢𝗠𝗣𝗨𝗧𝗘𝗥 𝗦𝗖𝗜𝗘𝗡𝗖𝗘 (IF 2024: 1.2) is a fully peer-reviewed, open access, electronic journal devoted to computer science. The journal provides readers with free, instant, and permanent access to all content worldwide. The topics include (but are not limited to): - Algorithms and Complexity Theory - Operations Research - Machine Learning and Artificial Intelligence - Trustworthy and Responsible AI - Distributed and Parallel Computing Systems - Bioinformatics and Computational Biology - Computer Networks and Security - Data Mining and Information Systems - Human Computer Interaction - Programming Languages - Computing Systems and Software Engineering - Evolutionary Computation and Fuzzy Systems - Theoretical Computer Science ============ 𝗘𝗗𝗜𝗧𝗢𝗥-𝗜𝗡-𝗖𝗛𝗜𝗘𝗙 Christos Anagnostopoulos, School of Computing Science, University of Glasgow, UK ============ 𝗘𝗗𝗜𝗧𝗢𝗥𝗜𝗔𝗟 𝗖𝗢𝗡𝗧𝗔𝗖𝗧 AssistantManagingEditor@degruyterbrill.com =========== 𝗪𝗘𝗕𝗦𝗜𝗧𝗘 https://www.degruyterbrill.com/comp ============ 𝗦𝗨𝗕𝗠𝗜𝗦𝗦𝗜𝗢𝗡 𝗦𝗬𝗦𝗧𝗘𝗠 https://www.editorialmanager.com/opencs ============ 𝗬𝗢𝗨𝗥 𝗕𝗘𝗡𝗘𝗙𝗜𝗧𝗦 As an author of Open Computer Science from - fair and constructive peer review - quick online publication of accepted papers (continuous publication model) - language polishing services upon acceptance for authors from non-English speaking regions - all articles are freely available to the academic community worldwide without any restrictions - promotion of published papers to readers and citers - distribution to open access directories (such as DOAJ) and thousands of libraries worldwide - Inclusion in prestigious international indexing services - liberal policies on copyrights (authors retain copyright) and on self-archiving (no embargo periods) (License to Publish (CC-BY)) - secure archiving by De Gruyter Brill and the independent archiving service Portico ============ 𝗔𝗥𝗧𝗜𝗖𝗟𝗘 𝗣𝗥𝗢𝗖𝗘𝗦𝗦𝗜𝗡𝗚 𝗖𝗛𝗔𝗥𝗚𝗘𝗦 Articles accepted for publication in Open Computer Science are subject to Article Processing Charges (APCs). The publication fee amounts to 1050 EUR. Authors who have no funding for the submitted research can apply for a waiver or a discount during the submission process. For more details please check the Article Processing Charges file available in Supplementary Materials on our website. https://www.degruyterbrill.com/comp If the submitting author is affiliated with an organization that has an open access agreement with De Gruyter Brill, the article processing charges (APCs) may be waived or discounted. For more information please visit our website. https://www.degruyterbrill.com/publishing/for-authors/journal-authors/open-access/agreements"
SCIA 2027,Scandinavian Conference on Image Analysis,28,30,2027-01-26,2027-03-16,2027-04-11,"Gjøvik, Norway","Apr 8, 2028 - Jun 11, 2027",https://scia2027.org/,"The Scandinavian Conference on Image Analysis (SCIA2027), organized by NOBIM and NTNU’s Colourlab in Gjøvik, connects professionals in image and video analysis. Its goal is to encourage collaboration across academia, industry, and the public sector while highlighting premium research in computer vision and pattern recognition. SCIA welcomes both groundbreaking theoretical developments and applications in emerging areas, including but not limited to: - 3D Vision from Multiview and Other Sensors - Action and Behavior Recognition - Biometrics, Faces, Body Gestures, and Pose Estimation - Computational Photography - Datasets and Evaluation Methodologies - Detection, Recognition, Classification, and Localization in 2D and/or 3D - Vision + Language (+ Other Modalities) - Vision Applications and Systems - Vision for Robotics and Autonomous Vehicles - Explainable AI for Computer Vision - Foundation models for Computer Vision - Image and Video Processing, Analysis, Imaging, and Understanding - Low-Level and Physics-Based Vision - Machine Learning Techniques - Medical and Biomedical Image Analysis - Motion Analysis and Tracking - Scene, Text, and Document Analysis and Understanding - Segmentation, Grouping, and Shape Analysis Two types of submissions are accepted: - Full paper: Original and unpublished work. Accepted papers will be included in the conference programme and they will be submitted for publication in Springer LNCS. - Abstract only: Accepted abstracts will be included in the conference programme, but they will not be submitted for publication in the proceedings. All submissions will go through a double-blind review process. More information regarding submission procedures will be soon circulated. Write to scia2027@idi.ntnu.no for questions or visit https://scia2027.org/ for more details."
ICDAIIS 2027,"1st International Conference on Data, AI & Intelligent Systems",88,28,2027-04-01,2027-04-15,2027-05-01,"Rome, Italy","Jul 9, 2027 - Jul 10, 2027",https://icdaiis.com/,"The International Conference on Data, AI, and Intelligent Systems (ICDAIIS) aims to bring together researchers, practitioners, and industry experts to share cutting-edge research, innovative methodologies, and practical applications in these rapidly evolving fields. The conference serves as a platform for interdisciplinary collaboration, fostering the exchange of ideas that bridge theory and practice across engineering, computing, and management disciplines. ICDAIIS welcomes original and unpublished contributions that address emerging trends, novel techniques, and real-world applications in data-driven and intelligent systems. Submissions from academia, industry, and government organizations are encouraged, including full research papers, work-in-progress studies, and application-oriented case studies. The conference will cover a broad range of topics, including, but not limited to, areas related to data analytics, artificial intelligence, intelligent systems, cybersecurity, and engineering management, with an emphasis on innovation, integration, and impactful solutions for modern engineering challenges. All submissions will be evaluated through a double-blind peer review process by four independent reviewers, and a decision will be announced within 15 days of submission. Accepted and registered papers will be published in Springer’s Advances in Computer Science Applications and Research series. Following the conference, we are pleased to recognize outstanding contributions presented during the event through two distinctions: Best Paper Award and Best Presentation Award. The selection process will be based on peer review evaluations, as well as feedback from the program committee and session chairs. The Best Paper Award will be granted to the paper that demonstrates exceptional quality, originality, and impact, considering the initial submission, the camera-ready version, and the overall contribution to the field. The Best Presentation Award will be presented to the author(s) who deliver the most effective and engaging presentation during the conference. For each awarded contribution, a digital certificate will be issued in the name of the authors. DATA SCIENCE & DATA ENGINEERING Descriptive, predictive, and prescriptive analytics Statistical modeling and data-driven decision-making Analytics for strategic planning and operations Business analytics and engineering management Data quality assessment and improvement Text, image, and multimedia data analytics Big data architectures and pipelines Data mining and knowledge discovery Workflow automation and data pipelines No-code/low-code data analytics platforms Data privacy and security Data governance frameworks Data encryption and anonymization techniques ------------------------------------------------- APPLICATIONS OF DATA ANALYTICS Data analytics in engineering systems Healthcare and public health analytics Environmental and sustainability analytics Smart cities and urban data systems Business, finance, and supply chain analytics Manufacuring fault detection analytics GIS and Spatial analytics ------------------------------------------------- AI & ML AI for decision support system Supervised, unsupervised, and semi-supervised learning Deep learning and neural networks Reinforcement learning and adaptive systems Robust and reliable AI models AI model evaluation and validation Natural language processing (NLP) Computer vision and image analysis Human-AI interaction and collaboration User-centric and adaptive AI systems ----------------------------------------------------------- INTELLIGENT SYSTEMS Human-in-the-loop intelligent systems Cognitive and bio-inspired systems Human-AI collaboration in intelligent environments Behavioral modeling and adaptive interfaces Cognitive and affective intelligent systems EEG, eye-tracking, and biosignal-driven systems Cyber-physical systems (CPS) Cyber threat intelligence and modeling Network security protocols and architectures Smart grid and critical infrastructure protection Social engineering and phishing detection Endpoint and system protection Robotics and autonomous systems Adaptive and learning systems Digital twin technologies Simulation and modeling of intelligent systems Risk prediction and mitigation systems Intelligent Six Sigma and process improvement Autonomous logistics and routing systems Demand forecasting and inventory management AI in quality control and defect detection Data driven supply chain optimization AI for workforce planning and scheduling"
SAMI 2028,25th IEEE World Symposium on Applied Machine Intelligence and Informatics,85,32,2027-10-25,2027-11-24,2027-12-23,"Stara Lesna, Slovakia.","Jan 29, 2028 - Jan 31, 2028",https://conf.uni-obuda.hu/sami2028/,"Authors are welcome to submit original and unpublished paper and attend the IEEE 25th World Symposium on Applied Machine Intelligence and Informatics (SAMI 2028) to be held on January 2028 in Stará Lesná, Slovakia. The conference is going to be organized in-person with onsite presentations only. The conference web site is at: https://conf.uni-obuda.hu/sami2028/"
SPIE IWPR 2026,SPIE--2026 11th International Workshop on Pattern Recognition (IWPR 2026),75,30,2026-07-10,,,"Milan, Italy","Aug 28, 2026 - Aug 30, 2026",http://www.icopr.org,"Abbreviation: IWPR 2026 Full Name: 2026 11th International Workshop on Pattern Recognition Location: Milan, Italy Conference Date: August 28-30, 2026 Web: www.icopr.org Publication All accepted papers for IWPR 2026, which will be registered and presented at the conference, will be published into Conference Proceedings by SPIE, included in SPIE Digital Libraryand submitted for Web of Science Conference Proceedings Citation Index Science, Scopus, Ei Compendex, etc, to ensure maximum awareness of the Proceedings like the last few years. Call for Paper: Track 1: Computer Vision Early vision Low-level vision Biologically motivated vision Track 2: Biomedical Image Analysis Vision sensors Medical image and signal analysis Biological image and signal analysis Track 3: Pattern Recognition and Machine Learning Statistical, syntactic and structural pattern recognition Machine learning and data mining Artificial neural networks Track 4: Image, Speech, Signal and Video Processing Signal, image and video processing Image and video analysis and understanding Audio and acoustic processing and analysis Track 5: Document Analysis, Biometrics and Pattern Recognition Applications Pattern Recognition for Bioinformatics Pattern Recognition for Surveillance and Security Pattern Recognition for Search, Retrieval and Visualization More topics via: http://icopr.org/cfp.html Agenda Overview August 28, 2026 Conference Check in and Kits Collection August 29, 2026 Opening Remarks and Keynote Speeches in the Morning August 29, 2026 Parallel Sessions in the Afternoon August 30, 2026 Academic Visiting & One day tour (Pending) Submission Methods: Full Paper (publication and oral presentation) Abstract (oral presentation only) Electronic Submission System (.pdf) http://confsys.iconf.org/submission/iwpr2026 or email: iwpr2016@vip.163.com. Contacts: Ms. Teri Zhang E-mail: iwpr2016@vip.163.com Tel: +86-13096333337"
